description,link,price,location,bedrooms,bathrooms,area
شقه للبيع في النزهه محور عدلي منصور,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%B2%D9%87%D9%87-%D9%85%D8%AD%D9%88%D8%B1-%D8%B9%D8%AF%D9%84%D9%8A-%D9%85%D9%86%D8%B5%D9%88%D8%B1-ID206044364.html,"EGP 1,250,000","Gesr Al Suez, Cairo•",3,2,150 SQM
"140m apartment for sale in Stone Residence - semi-finished - 5,000,000",https://www.dubizzle.com.eg/en/ad/140m-apartment-for-sale-in-stone-residence-semi-finished-5000000-ID502556300.html,"EGP 5,000,000","Stone Residence Compound, Katameya•",2,2,140 SQM
Apartment prime location in lakeview residence 2,https://www.dubizzle.com.eg/en/ad/apartment-prime-location-in-lakeview-residence-2-ID502509521.html,"EGP 10,300,000","Lake View Residence 2, 5th Settlement•",2,2,143 SQM
A fully finished apartment with a garden for sale in Hyde Park Compound (Minutes from the American University),https://www.dubizzle.com.eg/en/ad/a-fully-finished-apartment-with-a-garden-for-sale-in-hyde-park-compound-minutes-from-the-american-university-ID502609447.html,"EGP 8,660,000","Hyde Park New Cairo Compound, 5th Settlement•",2,1,87 SQM
Eastown Apartment - Fully Furnished With Appliances - Under Market Price - Prime location for sale,https://www.dubizzle.com.eg/en/ad/eastown-apartment-fully-furnished-with-appliances-under-market-price-prime-location-for-sale-ID502616415.html,"EGP 12,500,000","Eastown Compound, 5th Settlement•",2,2,156 SQM
apartment for sale in sarai with very special price,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-sarai-with-very-special-price-ID502561060.html,"EGP 7,340,000","Sarai, Mostakbal City•",2,2,131 SQM
"apartment 230meter in South Lotus, second from South 90th Street, ready to move, fully finished.",https://www.dubizzle.com.eg/en/ad/apartment-230meter-in-south-lotus-second-from-south-90th-street-ready-to-move-fully-finished-ID502627230.html,"EGP 6,500,000","El Lotus, 5th Settlement•",2,2,230 SQM
Ground Floor Apartment with Private Garden Overlooking the Lagoon in Privado Compound – Madinaty | Ready to Move – High-Quality Finishing with ACs –,https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-with-private-garden-overlooking-the-lagoon-in-privado-compound-madinaty-ready-to-move-high-quality-finishing-with-acs-ID502239716.html,"EGP 10,635,450","Privado, Madinaty•",2,2,82 SQM
Luxury Apartment for Sale | 203m² + 75m² Garden | Villette V Residences,https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-203m2-75m2-garden-villette-v-residences-ID502645963.html,"EGP 26,330,976","Villette Compound, 5th Settlement•",3,3,203 SQM
Apartment In Uptown Cairo - Mokattam For sale Fully Furnished,https://www.dubizzle.com.eg/en/ad/apartment-in-uptown-cairo-mokattam-for-sale-fully-furnished-ID502623051.html,"EGP 16,600,000","Uptown Cairo, Mokattam•",2,3,179 SQM
Ready to move A 3 Bedroom ground apartment  fully finished very prime location and view for sale in phase Park corner at compound Hyde park New cairo,https://www.dubizzle.com.eg/en/ad/ready-to-move-a-3-bedroom-ground-apartment-fully-finished-very-prime-location-and-view-for-sale-in-phase-park-corner-at-compound-hyde-park-new-cairo-ID502619276.html,"EGP 14,000,000","Hyde Park New Cairo Compound, 5th Settlement•",3,3,207 SQM
"For serious buyers only – Urgent Sale – Prime Fully Furnished Apartment  A luxurious apartment ready for immediate delivery,   fully furnishid",https://www.dubizzle.com.eg/en/ad/for-serious-buyers-only-urgent-sale-prime-fully-furnished-apartment-a-luxurious-apartment-ready-for-immediate-delivery-fully-furnishid-ID502614932.html,"EGP 18,000,000","The Waterway Compound, 5th Settlement•",3,3,170 SQM
Under Market Price | 2-Bedroom Apartment in Sodic East – Prime Location,https://www.dubizzle.com.eg/en/ad/under-market-price-2-bedroom-apartment-in-sodic-east-prime-location-ID502511785.html,"EGP 6,600,000","Sodic East, New Heliopolis•",2,2,139 SQM
Apartment Landscape View for Sale in CapitalGarden,https://www.dubizzle.com.eg/en/ad/apartment-landscape-view-for-sale-in-capitalgarden-ID502151621.html,"EGP 6,332,450","Capital Gardens, Mostakbal City•",3,3,182 SQM
Luxury Apartment for Sale in Maadi,https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-in-maadi-ID204023784.html,"EGP 4,500,000","Maadi, Cairo•",2,1,200 SQM
شقة للبيع إسكان اجتماعي مدينة بدر الحي الخامس حي البنفسج,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A5%D8%B3%D9%83%D8%A7%D9%86-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A8%D8%AF%D8%B1-%D8%A7%D9%84%D8%AD%D9%8A-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%AD%D9%8A-%D8%A7%D9%84%D8%A8%D9%86%D9%81%D8%B3%D8%AC-ID205015529.html,"EGP 950,000","Badr City, Cairo•",3,1,90 SQM
"Studio 62m for sale in Stone Residence – installment – down payment 3,200,000 EGP and the remaining 550,000 EGP",https://www.dubizzle.com.eg/en/ad/studio-62m-for-sale-in-stone-residence-installment-down-payment-3200000-egp-and-the-remaining-550000-egp-ID502556370.html,"EGP 3,750,000","Stone Residence Compound, Katameya•",1,1,62 SQM
Apartment Ready to move Prime location With Special Price in Lavenir -Al Mostakbal City,https://www.dubizzle.com.eg/en/ad/apartment-ready-to-move-prime-location-with-special-price-in-lavenir-al-mostakbal-city-ID502643768.html,"EGP 4,200,000","L’Avenir, Mostakbal City•",3,3,160 SQM
شقه للبيع كمبوند هاى سيتى مساحه ٢٠٧ متر اول بلكونه,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D9%87%D8%A7%D9%89-%D8%B3%D9%8A%D8%AA%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%A2%D9%A0%D9%A7-%D9%85%D8%AA%D8%B1-%D8%A7%D9%88%D9%84-%D8%A8%D9%84%D9%83%D9%88%D9%86%D9%87-ID206026106.html,"EGP 6,300,000","High City, Obour City•",3,3,207 SQM
280m apartment for sale in the seventh neighborhood villas installment over 12 months,https://www.dubizzle.com.eg/en/ad/280m-apartment-for-sale-in-the-seventh-neighborhood-villas-installment-over-12-months-ID502617171.html,"EGP 6,000,000","Obour City, Cairo•",4,3,280 SQM
"Ready to move Apartment for sale fully finished, in The Address East, in the heart of the Fifth Settlement, with installments over the longest",https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-for-sale-fully-finished-in-the-address-east-in-the-heart-of-the-fifth-settlement-with-installments-over-the-longest-ID502615768.html,"EGP 6,100,000","The Address East Compound, 5th Settlement•",3,2,145 SQM
Apartment for Sale with Open View in Palm Hills New Cairo | Facing North,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-open-view-in-palm-hills-new-cairo-facing-north-ID502643771.html,"EGP 13,012,000","Palm Hills New Cairo Compound, 5th Settlement•",4,4,255 SQM
Apartment 150 SQM For Sale In Azzar Reedy Group New Cairo Own Now !,https://www.dubizzle.com.eg/en/ad/apartment-150-sqm-for-sale-in-azzar-reedy-group-new-cairo-own-now-ID502646936.html,"EGP 10,350,000","Azzar Compound, 5th Settlement•",3,3,150 SQM
apartment resale in sarai with lowest price overlooking landscape and walking distance to club house 3 bedrooms + 2 bathrooms 155 sqm,https://www.dubizzle.com.eg/en/ad/apartment-resale-in-sarai-with-lowest-price-overlooking-landscape-and-walking-distance-to-club-house-3-bedrooms-2-bathrooms-155-sqm-ID502620512.html,"EGP 5,420,000","Sarai, Mostakbal City•",3,2,155 SQM
Apartment in Prime Location in Uptown Cairo,https://www.dubizzle.com.eg/en/ad/apartment-in-prime-location-in-uptown-cairo-ID501318297.html,"EGP 21,500,000","Uptown Cairo, Mokattam•",3,3,218 SQM
"For sale in Madinaty at a very special price, 200 square meters overlooking the garden and Central Park, excellent location and at less than the marke",https://www.dubizzle.com.eg/en/ad/for-sale-in-madinaty-at-a-very-special-price-200-square-meters-overlooking-the-garden-and-central-park-excellent-location-and-at-less-than-the-marke-ID502634869.html,"EGP 10,000,000","Madinaty, Cairo•",4,3,200 SQM
207 sqm Semi-Finished Apartment for Sale in Obour City - Okardia compound,https://www.dubizzle.com.eg/en/ad/207-sqm-semi-finished-apartment-for-sale-in-obour-city-okardia-compound-ID502576880.html,"EGP 5,247,000","Obour City, Cairo•",3,3,207 SQM
panoramic landscape view and by 50% off fully finished apartment for sale in installment over 10 years near to sodic east and new cairo,https://www.dubizzle.com.eg/en/ad/panoramic-landscape-view-and-by-50-off-fully-finished-apartment-for-sale-in-installment-over-10-years-near-to-sodic-east-and-new-cairo-ID502607583.html,"EGP 10,000,000","Privado, Madinaty•",3,2,165 SQM
"Penthouse for sale in Lake View Residence, bua 345sqm, pool, laundry, reception, kitchenette, terrace",https://www.dubizzle.com.eg/en/ad/penthouse-for-sale-in-lake-view-residence-bua-345sqm-pool-laundry-reception-kitchenette-terrace-ID502509086.html,"EGP 26,000,000","Lake view Residence Compound, 5th Settlement•",3,4,345 SQM
Park villa duplex with garden for sale in Mountain View iCity New Cairo ready to move prime location,https://www.dubizzle.com.eg/en/ad/park-villa-duplex-with-garden-for-sale-in-mountain-view-icity-new-cairo-ready-to-move-prime-location-ID502627211.html,"EGP 9,400,000","Mountain View iCity Compound, 5th Settlement•",3,3,260 SQM
Lowest price in market ready to move prime location apartment for sale in Palm hills new cairo 5th settlement,https://www.dubizzle.com.eg/en/ad/lowest-price-in-market-ready-to-move-prime-location-apartment-for-sale-in-palm-hills-new-cairo-5th-settlement-ID502632824.html,"EGP 8,715,000","Palm Hills New Cairo Compound, 5th Settlement•",3,3,183 SQM
apartment ready to deliver semi finished prime location in the square new cairo al ahly sabbour,https://www.dubizzle.com.eg/en/ad/apartment-ready-to-deliver-semi-finished-prime-location-in-the-square-new-cairo-al-ahly-sabbour-ID502558897.html,"EGP 5,200,000","The Square Compound, 5th Settlement•",2,2,132 SQM
Uptown Cairo –Apartment for Sale 184 m Fully Finished,https://www.dubizzle.com.eg/en/ad/uptown-cairo-apartment-for-sale-184-m-fully-finished-ID502518830.html,"EGP 16,800,000","Uptown Cairo, Mokattam•",3,3,184 SQM
شقة دوبلكس,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-ID206019511.html,"EGP 7,200,000","Obour City, Cairo•",3,3,353 SQM
شقة ١٥٥ متر للبيع بكمباوند بارادايس التجمع الخامس,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%A1%D9%A5%D9%A5-%D9%85%D8%AA%D8%B1-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%83%D9%85%D8%A8%D8%A7%D9%88%D9%86%D8%AF-%D8%A8%D8%A7%D8%B1%D8%A7%D8%AF%D8%A7%D9%8A%D8%B3-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-ID206018224.html,"EGP 5,960,000","Paradise, 5th Settlement•",3,2,155 SQM
Penthouse Duplex for Sale – National Defense Villas – New Cairo,https://www.dubizzle.com.eg/en/ad/penthouse-duplex-for-sale-national-defense-villas-new-cairo-ID502647954.html,"EGP 5,000,000","Al Defaa Al Watany Compound, 5th Settlement•",4,4,439 SQM
"3-bedroom apartment for sale in Taj City Compound, directly on the Suez Road, opposite Cairo International Airport.",https://www.dubizzle.com.eg/en/ad/3-bedroom-apartment-for-sale-in-taj-city-compound-directly-on-the-suez-road-opposite-cairo-international-airport-ID502646068.html,"EGP 6,500,000","Taj City Compound, 1st Settlement•",3,2,166 SQM
"Own a 3-bedroom apartment for sale with immediate delivery in Bloomfields Mostakbal City, a fully serviced compound, ready to move use.",https://www.dubizzle.com.eg/en/ad/own-a-3-bedroom-apartment-for-sale-with-immediate-delivery-in-bloomfields-mostakbal-city-a-fully-serviced-compound-ready-to-move-use-ID502647386.html,"EGP 7,446,000","Bloomfields, Mostakbal City•",3,2,153 SQM
"Own a 3-bedroom apartment with ready to move and a 30% cash discount for sale in Bloomfields Mostakbal City, a fully serviced compound. Live and",https://www.dubizzle.com.eg/en/ad/own-a-3-bedroom-apartment-with-ready-to-move-and-a-30-cash-discount-for-sale-in-bloomfields-mostakbal-city-a-fully-serviced-compound-live-and-ID502647414.html,"EGP 7,445,000","Bloomfields, Mostakbal City•",3,2,153 SQM
"Duplexfor sale, ready to move , in installments, in Mountain View 1 Compound, Fifth Settlement, in front of the Public Prosecutor",https://www.dubizzle.com.eg/en/ad/duplexfor-sale-ready-to-move-in-installments-in-mountain-view-1-compound-fifth-settlement-in-front-of-the-public-prosecutor-ID501362215.html,"EGP 13,000,000","Mountain View 1 Compound, 1st Settlement•",3,3,220 SQM
For sale finished 3 rooms Ready to move 6.3 cash New Cairo,https://www.dubizzle.com.eg/en/ad/for-sale-finished-3-rooms-ready-to-move-63-cash-new-cairo-ID502647924.html,"EGP 6,300,000","5th Settlement, New Cairo•",3,3,140 SQM
"Apartment for sale, 3 rooms, without down payment and installments over 10 years, in Stone Park Compound, Fifth Settlement",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-3-rooms-without-down-payment-and-installments-over-10-years-in-stone-park-compound-fifth-settlement-ID501497931.html,"EGP 7,000,000","Stone Park Compound, Katameya•",3,3,152 SQM
Apartment for Sale – Andalus – New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-andalus-new-cairo-ID502647944.html,"EGP 4,500,000","Al Andalous, 5th Settlement•",3,2,180 SQM
"Apartment of 170 square meters, 3 rooms, for sale with no down payment and installments over 7 years in La Vista Patio Sola Compound in El Shorouk",https://www.dubizzle.com.eg/en/ad/apartment-of-170-square-meters-3-rooms-for-sale-with-no-down-payment-and-installments-over-7-years-in-la-vista-patio-sola-compound-in-el-shorouk-ID501630466.html,"EGP 8,500,000","El Patio Sola, Shorouk City•",3,3,170 SQM
"For Sale – Ready-to-Move Apartment on the Middle Ring Road, Directly in Mountain View New Cairo Compound",https://www.dubizzle.com.eg/en/ad/for-sale-ready-to-move-apartment-on-the-middle-ring-road-directly-in-mountain-view-new-cairo-compound-ID502647938.html,"EGP 12,600,000","Mountain View 1.1, 5th Settlement•",3,2,156 SQM
"For those seeking excellence and sophistication at the best prices and locations, own and invest in an apartment in the first district. Modern buildin",https://www.dubizzle.com.eg/en/ad/for-those-seeking-excellence-and-sophistication-at-the-best-prices-and-locations-own-and-invest-in-an-apartment-in-the-first-district-modern-buildin-ID502642964.html,"EGP 8,000,000","Nasr City, Cairo•",3,3,240 SQM
Apartment For Sale Village Gardens Katameya With Amazing Finishing,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-village-gardens-katameya-with-amazing-finishing-ID502647933.html,"EGP 12,500,000","Village Gardens Katameya Compound, 5th Settlement•",2,2,174 SQM
Apartment garden for sale in Cairo festival,https://www.dubizzle.com.eg/en/ad/apartment-garden-for-sale-in-cairo-festival-ID502645189.html,"EGP 17,900,000","Cairo Festival City, 5th Settlement•",2,2,138 SQM
"Apartment 2 bed , Prime Location Next to Rehab and View for sale By Install 10 years or cash disc 35%",https://www.dubizzle.com.eg/en/ad/apartment-2-bed-prime-location-next-to-rehab-and-view-for-sale-by-install-10-years-or-cash-disc-35-ID502603480.html,"EGP 6,825,000","Creek Town Compound, 5th Settlement•",2,2,120 SQM
Apartment For Sale READY TO MOVE By 47% Discount or 10 years Installments .,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ready-to-move-by-47-discount-or-10-years-installments-ID502583268.html,"EGP 5,785,000","Scenario, New Capital City•",3,3,206 SQM
By Discount 47% Get Apartment 3 Bed Ready to move or by Installments 10 years .,https://www.dubizzle.com.eg/en/ad/by-discount-47-get-apartment-3-bed-ready-to-move-or-by-installments-10-years-ID502572646.html,"EGP 4,168,300","Scenario, New Capital City•",3,3,163 SQM
"Duplex for Sale – Trio Gardens, New Cairo",https://www.dubizzle.com.eg/en/ad/duplex-for-sale-trio-gardens-new-cairo-ID502647930.html,"EGP 13,500,000","Trio Gardens Compound, 5th Settlement•",3,3,238 SQM
"Own Now Apartment Ready to move 3 Bed , Fully Finished & Available Installments up to 10 years.",https://www.dubizzle.com.eg/en/ad/own-now-apartment-ready-to-move-3-bed-fully-finished-available-installments-up-to-10-years-ID502490394.html,"EGP 4,100,000","Al Maqsad, New Capital City•",3,3,161 SQM
For sale finished Ready to move 6.1 million New Cairo,https://www.dubizzle.com.eg/en/ad/for-sale-finished-ready-to-move-61-million-new-cairo-ID502647922.html,"EGP 6,100,000","5th Settlement, New Cairo•",2,2,121 SQM
"Apartment for sale, 180 square meters, 8th District, Nasr City                                                                                       .",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-180-square-meters-8th-district-nasr-city-ID502639616.html,"EGP 4,600,000","Nasr City, Cairo•",3,2,180 SQM
apartment for sale,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ID206027870.html,"EGP 6,300,000","5th Settlement, New Cairo•",3,2,175 SQM
شقه متشطبه سوبر لوكس ٢٠٠م جاهزه للسكن بالقرب من قصر القبه بالزيتون,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8%D9%87-%D8%B3%D9%88%D8%A8%D8%B1-%D9%84%D9%88%D9%83%D8%B3-%D9%A2%D9%A0%D9%A0%D9%85-%D8%AC%D8%A7%D9%87%D8%B2%D9%87-%D9%84%D9%84%D8%B3%D9%83%D9%86-%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8-%D9%85%D9%86-%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D9%82%D8%A8%D9%87-%D8%A8%D8%A7%D9%84%D8%B2%D9%8A%D8%AA%D9%88%D9%86-ID206019324.html,"EGP 3,300,000","Hadayeq El Zeitoun, Cairo•",3,2,200 SQM
"Studio for sale in Madinaty, super deluxe finished",https://www.dubizzle.com.eg/en/ad/studio-for-sale-in-madinaty-super-deluxe-finished-ID502647916.html,"EGP 2,500,000","Madinaty, Cairo•",1,1,63 SQM
Apartment 150 SQM For Sale In Azzar Reedy Group New Cairo Own Now !,https://www.dubizzle.com.eg/en/ad/apartment-150-sqm-for-sale-in-azzar-reedy-group-new-cairo-own-now-ID502646936.html,"EGP 10,350,000","Azzar Compound, 5th Settlement•",3,3,150 SQM
Apartment For Sale 135 SQM Fully Finished In City Gate | Qatari Diar Own Now !,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-135-sqm-fully-finished-in-city-gate-qatari-diar-own-now-ID502646400.html,"EGP 12,660,000","City Gate Compound, 5th Settlement•",2,2,135 SQM
شقة للبيع على كورنيش المعادي   أبراج مدينة النيل بالمعادي,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B9%D9%84%D9%89-%D9%83%D9%88%D8%B1%D9%86%D9%8A%D8%B4-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A-%D8%A3%D8%A8%D8%B1%D8%A7%D8%AC-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%86%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A-ID205994288.html,"EGP 6,600,000","Corniche El Maadi, Maadi•",5,2,196 SQM
شقة للبيع سكن مصر التجمع التالت ارض المعارض,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D9%83%D9%86-%D9%85%D8%B5%D8%B1-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AA%D8%A7%D9%84%D8%AA-%D8%A7%D8%B1%D8%B6-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B1%D8%B6-ID205980898.html,"EGP 2,700,000","Sakan Masr, 3rd Settlement•",3,1,115 SQM
كمبوند بانوراما الشروق شقة 124م,https://www.dubizzle.com.eg/en/ad/%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%A8%D8%A7%D9%86%D9%88%D8%B1%D8%A7%D9%85%D8%A7-%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D9%82-%D8%B4%D9%82%D8%A9-124%D9%85-ID201500633.html,"EGP 2,750,000","Panorama El Shorouk, Shorouk City•",2,2,124 SQM
Apartment for Sale – West Arabella – New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-west-arabella-new-cairo-ID502647911.html,"EGP 7,500,000","West Arabella Compound, 3rd Settlement•",3,3,220 SQM
شقة للبيع في زهراء المعادي بجوار نادي وادي دجله وكمبوند تيجان ٢,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B2%D9%87%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A-%D8%A8%D8%AC%D9%88%D8%A7%D8%B1-%D9%86%D8%A7%D8%AF%D9%8A-%D9%88%D8%A7%D8%AF%D9%8A-%D8%AF%D8%AC%D9%84%D9%87-%D9%88%D9%83%D9%85%D8%A8%D9%88%D9%86%D8%AF-%D8%AA%D9%8A%D8%AC%D8%A7%D9%86-%D9%A2-ID205982077.html,"EGP 3,500,000","Zahraa Al Maadi, Cairo•",3,2,171 SQM
Apartment for sale in the eighth district behind Al-Sarraj on the main road                                                                          .,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-the-eighth-district-behind-al-sarraj-on-the-main-road-ID502334432.html,"EGP 4,500,000","Nasr City, Cairo•",3,2,200 SQM
Apartment for sale in a prime location on Mustafa Al-Nahhas Street near Makram Ebeid                                                                 .,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-a-prime-location-on-mustafa-al-nahhas-street-near-makram-ebeid-ID502131433.html,"EGP 6,000,000","Nasr City, Cairo•",3,3,220 SQM
