description,link,price,location,bedrooms,bathrooms,area
Appartment for sale 127 M - Fully Finished - in swan lake residences Compound (Hassam Allam) - New Cairo,https://www.dubizzle.com.eg/en/ad/appartment-for-sale-127-m-fully-finished-in-swan-lake-residences-compound-hassam-allam-new-cairo-ID500782170.html,"EGP 12,200,000","Swan Lake Residences, 1st Settlement•",2,2,127 SQM
A fully finished apartment in a distinguished location minutes from New Giza Open Air Madinaty the most distinguished phase in front of SODIC East,https://www.dubizzle.com.eg/en/ad/a-fully-finished-apartment-in-a-distinguished-location-minutes-from-new-giza-open-air-madinaty-the-most-distinguished-phase-in-front-of-sodic-east-ID502631274.html,"EGP 8,350,000","Sodic East, New Heliopolis•",3,2,160 SQM
City Gate – Diar Qatari | Luxury 3BR Apartment for Sale | Fully Finished,https://www.dubizzle.com.eg/en/ad/city-gate-diar-qatari-luxury-3br-apartment-for-sale-fully-finished-ID502606938.html,"EGP 13,790,000","City Gate Compound, 5th Settlement•",3,3,210 SQM
"Apartment for Sale with Installments ( Luxury Finishing and Ready to Move ) Prime Location in Arabesque Compound , New Fustat",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-installments-luxury-finishing-and-ready-to-move-prime-location-in-arabesque-compound-new-fustat-ID502601159.html,"EGP 4,500,000","Arabesque, El Fostat•",2,2,145 SQM
Prime Location near Club and Mall district 5,https://www.dubizzle.com.eg/en/ad/prime-location-near-club-and-mall-district-5-ID502632436.html,"EGP 10,000,000","District 5 Compound, 5th Settlement•",2,3,151 SQM
Duplex upper For Sale in green square Delivered,https://www.dubizzle.com.eg/en/ad/duplex-upper-for-sale-in-green-square-delivered-ID502591391.html,"EGP 8,000,000","Green Square, Mostakbal City•",4,5,257 SQM
131 square meter apartment at a special price for sale in Rehab City,https://www.dubizzle.com.eg/en/ad/131-square-meter-apartment-at-a-special-price-for-sale-in-rehab-city-ID502619110.html,"EGP 7,250,000","Rehab City Compound, New Cairo•",2,1,131 SQM
An ideal opportunity for upscale housing a apartment for sale in a vital location next to Mountain View,https://www.dubizzle.com.eg/en/ad/an-ideal-opportunity-for-upscale-housing-a-apartment-for-sale-in-a-vital-location-next-to-mountain-view-ID502641842.html,"EGP 8,300,000","Mountain View Hyde Park Compound, 5th Settlement•",3,2,171 SQM
Apartment for sale - 3 bedrooms - Ready to move - Fully finished - in Mivida compound - new cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-3-bedrooms-ready-to-move-fully-finished-in-mivida-compound-new-cairo-ID502251289.html,"EGP 26,000,000","Mivida Compound, 5th Settlement•",3,3,245 SQM
Fully Finished Luxury Apartment Ready to Move for Sale in Mivida Emaar - New Cairo,https://www.dubizzle.com.eg/en/ad/fully-finished-luxury-apartment-ready-to-move-for-sale-in-mivida-emaar-new-cairo-ID502620502.html,"EGP 16,800,000","Mivida Compound, 5th Settlement•",3,3,186 SQM
"Apartment for sale, 1bedroom , in Hyde Park, Sixth Settlement, wall by wall with Zed East | Minutes away from La Vista - with a 5% down payment",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-1bedroom-in-hyde-park-sixth-settlement-wall-by-wall-with-zed-east-minutes-away-from-la-vista-with-a-5-down-payment-ID502635512.html,"EGP 8,700,000","Hyde Park Central, New Cairo•",1,1,90 SQM
Apartment Double view Ready To Move Lowest Price In Sarai Mostakbal City,https://www.dubizzle.com.eg/en/ad/apartment-double-view-ready-to-move-lowest-price-in-sarai-mostakbal-city-ID502647110.html,"EGP 6,500,000","Sarai, Mostakbal City•",3,4,182 SQM
"Own an apartment at the lowest price in the Fifth Settlement with a 10% deposit in the Shababeek compound, minutes from Al-Teseen Street and the Suez Road",https://www.dubizzle.com.eg/en/ad/own-an-apartment-at-the-lowest-price-in-the-fifth-settlement-with-a-10-deposit-in-the-shababeek-compound-minutes-from-al-teseen-street-and-the-suez-road-ID502592850.html,"EGP 7,658,785","Shababeek, 5th Settlement•",3,3,161 SQM
183m² Apartment – 3 Bedrooms- 4 bathrooms with open View in privado  Ready to Move,https://www.dubizzle.com.eg/en/ad/183m2-apartment-3-bedrooms-4-bathrooms-with-open-view-in-privado-ready-to-move-ID502133643.html,"EGP 12,779,852","Privado, Madinaty•",3,4,183 SQM
"Apartment for Sale in Stone Park – New Cairo Prime Location in Fifth Settlement, near Katameya Heights & West Golf",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-stone-park-new-cairo-prime-location-in-fifth-settlement-near-katameya-heights-west-golf-ID502641738.html,"EGP 9,000,000","Stone Park Compound, Katameya•",3,2,165 SQM
"Apartment for sale, mortgage financing, 125 square meters, fourth floor, immediate delivery, super lux finishing in New Heliopolis city, next to Al-Shorouk and Badr and in front of Madinty and the capital",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-mortgage-financing-125-square-meters-fourth-floor-immediate-delivery-super-lux-finishing-in-new-heliopolis-city-next-to-al-shorouk-and-badr-and-in-front-of-madinty-and-the-capital-ID502606457.html,"EGP 2,600,000","New Heliopolis, Cairo•",2,2,125 SQM
"50% Discount – 3-Bedroom Apartment for Sale in Sarai, next to Madinaty  and just minutes from New Cairo.",https://www.dubizzle.com.eg/en/ad/50-discount-3-bedroom-apartment-for-sale-in-sarai-next-to-madinaty-and-just-minutes-from-new-cairo-ID502579959.html,"EGP 4,985,000","Sarai, Mostakbal City•",3,3,147 SQM
