unit_id,name,price,about,bedrooms,bathrooms,size,property_type,location,price_per_sqm,link,Private Pool,Private Gym,Private Garden,Covered Parking,Maids Quarters,Jacuzzi,Garden,Balcony
U5693108,2 Bedroom Condo for sale at Nasr City Flat,"EGP2,000,000","This property is a 86 SqM condo with2 bedroomsand 1 bathroom that is available for sale. It is part of theNasr City Flatproject in Nasr City, Cairo and was completed in Jun 1996. You can buy this condo for a base price of EGP2,000,000 (EGP23,256/SqM).",2,1,86,Condo,"Nasr City,Cairo, Egypt","EGP23,256",https://www.fazwaz.com.eg/en/property-sales/2-bedroom-condo-for-sale-at-nasr-city-flat-in-nasr-city-cairo-u5693108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U1030006,3 Bedroom Condo for sale at Nasr City Flat,"EGP16,300,000","This property is a 160 SqM condo with3 bedroomsand 1 bathroom that is available for sale. It is part of theNasr City Flatproject in Nasr City, Cairo and was completed in Jun 1996. You can buy this condo for a base price of EGP16,300,000 (EGP102,000/SqM).LUXURY FULLY FURNISHED FLAT FOR SALE – For Foreigners, CairoLUXURY FULLY FURNISHED FLAT FOR SALE – For Foreigners, Cairo Good Location, Nasr City, 1 St. area, near Abbas El-Akkad St., 5 th. floor, 160 m², Bedroom, Children room, office room, kitchen, Living room, Balcony, 4 Air Conditions, Kitchen equipments, Telephone, Computer, Television, Satellite, Washing Machine, Dishwasher, Balcony flower’s pot with irrigation system, all widows are made of 2 sheets glass Aluminium windows (Egybel), very well insulated, own drain pipes and water pipes including motors & special water filters, Elevator, Good Entrance, … … Sale Price: EUR 000.000,- (to be agreed) This apartment is suitable for foreigners, pay in euros or dollars.Show More",3,1,160,Condo,"Nasr City,Cairo, Egypt","EGP102,000",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-condo-for-sale-at-nasr-city-flat-in-nasr-city-cairo-u1030006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U922936,2 Bedroom Apartment for sale at Degla Landmark,"EGP8,770,000","This property is a 113 SqM apartment with2 bedroomsand 2 bathrooms that is available for sale. It is part of theDegla Landmarkproject in Nasr City Compounds, Cairo and was completed in Jan 2022. You can buy this apartment for a base price of EGP8,770,000 (EGP77,600/SqM).",2,2,113,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP77,600",https://www.fazwaz.com.eg/en/property-sales/2-bedroom-apartment-for-sale-at-degla-landmark-in-nasr-city-compounds-cairo-u922936,N/A,N/A,N/A,mawgood,N/A,N/A,N/A,mawgood
U928664,3 Bedroom Apartment for sale at Degla Landmark,"EGP11,800,000","This property is a 122 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theDegla Landmarkproject in Nasr City Compounds, Cairo and was completed in Jan 2022. You can buy this apartment for a base price of EGP11,800,000 (EGP96,500/SqM).",3,2,122,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP96,500",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-degla-landmark-in-nasr-city-compounds-cairo-u928664,N/A,N/A,N/A,mawgood,N/A,N/A,N/A,mawgood
U957006,3 Bedroom Apartment for sale at Nasr City Towers,"EGP24,900,000","This property is a 300 SqM apartment with3 bedroomsand 3 bathrooms that is available for sale. It is part of theNasr City Towersproject in Nasr City Compounds, Cairo. You can buy this apartment for a base price of EGP24,900,000 (EGP82,900/SqM).",3,3,300,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP82,900",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-nasr-city-towers-in-nasr-city-compounds-cairo-u957006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U958538,3 Bedroom Apartment for sale at TRUE,"EGP11,000,000","This property is a 120 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP11,000,000 (EGP91,600/SqM).",3,2,120,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP91,600",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u958538,mawgood,mawgood,N/A,mawgood,mawgood,N/A,N/A,mawgood
U922912,3 Bedroom Apartment for sale at Sun View,"EGP12,400,000","This property is a 135 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theSun Viewproject in Nasr City Compounds, Cairo. You can buy this apartment for a base price of EGP12,400,000 (EGP91,600/SqM).",3,2,135,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP91,600",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-sun-view-in-nasr-city-compounds-cairo-u922912,mawgood,mawgood,mawgood,mawgood,mawgood,mawgood,mawgood,mawgood
U963804,3 Bedroom Apartment for sale at Sun View,"EGP12,400,000","This property is a 135 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theSun Viewproject in Nasr City Compounds, Cairo. You can buy this apartment for a base price of EGP12,400,000 (EGP91,600/SqM).",3,2,135,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP91,600",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-sun-view-in-nasr-city-compounds-cairo-u963804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U956176,3 Bedroom Apartment for sale at TRUE,"EGP11,800,000","This property is a 130 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP11,800,000 (EGP91,000/SqM).",3,2,130,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP91,000",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u956176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mawgood
U949714,3 Bedroom Apartment for sale at Sun View,"EGP19,000,000","This property is a 207 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theSun Viewproject in Nasr City Compounds, Cairo. You can buy this apartment for a base price of EGP19,000,000 (EGP91,600/SqM).",3,2,207,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP91,600",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-sun-view-in-nasr-city-compounds-cairo-u949714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U950700,3 Bedroom Apartment for sale at TRUE,"EGP11,100,000","This property is a 118 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP11,100,000 (EGP93,800/SqM).",3,2,118,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP93,800",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u950700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U959756,2 Bedroom Apartment for sale at TRUE,"EGP7,300,000","This property is a 75 SqM apartment with2 bedroomsand 1 bathroom that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP7,300,000 (EGP97,300/SqM).",2,1,75,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP97,300",https://www.fazwaz.com.eg/en/property-sales/2-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u959756,N/A,N/A,mawgood,mawgood,N/A,N/A,mawgood,mawgood
U5348947,3 Bedroom Apartment for sale at TRUE,"EGP5,000,000","This property is a 118.30 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP5,000,000 (EGP42,265/SqM).",3,2,118.3,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP42,265",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u5348947,mawgood,N/A,N/A,N/A,N/A,N/A,mawgood,N/A
U962128,3 Bedroom Apartment for sale at TRUE,"EGP11,100,000","This property is a 108 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP11,100,000 (EGP103,000/SqM).",3,2,108,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP103,000",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u962128,N/A,N/A,N/A,mawgood,N/A,N/A,N/A,mawgood
U955324,3 Bedroom Apartment for sale at Degla Landmark,"EGP16,400,000","This property is a 122 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theDegla Landmarkproject in Nasr City Compounds, Cairo and was completed in Jan 2022. You can buy this apartment for a base price of EGP16,400,000 (EGP134,000/SqM).",3,2,122,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP134,000",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-degla-landmark-in-nasr-city-compounds-cairo-u955324,N/A,N/A,N/A,mawgood,N/A,N/A,N/A,mawgood
U963024,3 Bedroom Apartment for sale at TRUE,"EGP10,200,000","This property is a 104 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP10,200,000 (EGP98,300/SqM).",3,2,104,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP98,300",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u963024,N/A,N/A,N/A,mawgood,N/A,N/A,N/A,mawgood
U965432,3 Bedroom Apartment for sale at Primera,"EGP15,700,000","This property is a 176 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of thePrimeraproject in Nasr City Compounds, Cairo. You can buy this apartment for a base price of EGP15,700,000 (EGP89,200/SqM).",3,2,176,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP89,200",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-primera-in-nasr-city-compounds-cairo-u965432,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U956202,2 Bedroom Apartment for sale at TRUE,"EGP11,600,000","This property is a 109 SqM apartment with2 bedroomsand 1 bathroom that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP11,600,000 (EGP106,000/SqM).",2,1,109,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP106,000",https://www.fazwaz.com.eg/en/property-sales/2-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u956202,N/A,N/A,N/A,mawgood,N/A,N/A,N/A,mawgood
U926276,1 Bedroom Apartment for sale at TRUE,"EGP6,820,000","This property is a 77 SqM apartment with1 bedroomand 1 bathroom that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP6,820,000 (EGP88,600/SqM).",1,1,77,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP88,600",https://www.fazwaz.com.eg/en/property-sales/1-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u926276,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U961108,3 Bedroom Apartment for sale at TRUE,"EGP13,000,000","This property is a 120 SqM apartment with3 bedroomsand 1 bathroom that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP13,000,000 (EGP108,000/SqM).",3,1,120,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP108,000",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u961108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mawgood
U925706,3 Bedroom Apartment for sale at TRUE,"EGP11,700,000","This property is a 108 SqM apartment with3 bedroomsand 2 bathrooms that is available for sale. It is part of theTRUEproject in Nasr City Compounds, Cairo and was completed in Jun 2025. You can buy this apartment for a base price of EGP11,700,000 (EGP108,000/SqM).",3,2,108,Apartment,"Nasr City Compounds, Nasr City,Cairo","EGP108,000",https://www.fazwaz.com.eg/en/property-sales/3-bedroom-apartment-for-sale-at-true-in-nasr-city-compounds-cairo-u925706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
